站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20251226160500,7.7,1000.3,95,343,6.2,1.5,10468.7
58102,20251226160500,12.4,1007.4,4,295,7.5,0.4,10264.0
58118,20251226160500,30.0,1016.2,62,4,3.7,0.9,10022.9
58122,20251226160500,31.4,1003.1,96,331,6.3,1.2,10322.0
58203,20251226160500,20.3,1008.8,5,210,12.1,0.5,10397.4
58215,20251226160500,8.4,1025.9,73,20,12.5,1.1,10314.0
58221,20251226160500,5.1,1019.8,0,113,10.5,0.2,10415.3
58225,20251226160500,4.4,1009.5,4,151,7.7,0.3,10222.2
58236,20251226160500,4.0,1016.7,63,114,6.5,1.2,10254.1
58311,20251226160500,13.9,1017.2,66,235,3.3,0.8,10297.0
58314,20251226160500,0.9,1002.6,27,202,5.4,0.8,10173.5
58319,20251226160500,26.1,1003.2,93,346,2.8,1.0,10035.0
58321,20251226160500,0.7,1003.1,29,177,7.0,1.0,10167.8
58326,20251226160500,28.8,1016.7,70,67,12.1,0.6,10300.6
58336,20251226160500,15.5,1020.1,24,194,3.7,0.1,10352.5
58338,20251226160500,4.1,1019.6,46,272,12.5,0.0,10116.2
58414,20251226160500,5.5,1009.8,65,242,7.6,1.4,10376.6
58419,20251226160500,34.7,1018.8,48,305,1.5,1.5,10036.1
58424,20251226160500,3.9,1014.2,79,284,2.3,1.5,10196.3
58429,20251226160500,21.0,1001.1,85,271,14.9,0.9,10262.9
58436,20251226160500,12.5,1009.4,86,150,14.9,1.3,10407.2
58437,20251226160500,2.5,1010.9,83,162,8.9,1.2,10108.9
58520,20251226160500,10.6,1011.9,96,315,1.6,0.9,10239.6
58531,20251226160500,4.1,1005.8,96,271,10.1,0.7,10474.3
54406,20251226160500,30.1,1012.4,27,248,9.5,1.5,10132.0
54416,20251226160500,4.4,1021.5,32,349,3.1,0.4,10038.7
54511,20251226160500,7.0,1014.4,69,186,7.5,0.3,10202.9
58725,20251226160500,9.1,1009.5,74,294,7.5,1.1,10436.1
58730,20251226160500,27.7,1026.0,91,218,7.1,0.0,10348.7
58731,20251226160500,11.8,1000.4,25,214,5.9,0.0,10098.5
58734,20251226160500,29.0,1020.3,62,292,1.9,0.7,10421.4
58737,20251226160500,4.4,1011.9,98,57,8.7,0.2,10452.7
58744,20251226160500,1.2,1013.3,54,339,4.5,1.5,10417.6
58754,20251226160500,11.7,1005.1,81,297,14.0,0.8,10406.2
58818,20251226160500,0.1,1013.0,78,123,6.0,0.8,10040.0
58820,20251226160500,18.0,1025.2,60,204,2.4,0.2,10301.3
58834,20251226160500,6.1,1021.5,95,333,13.3,1.0,10434.3
58837,20251226160500,17.8,1024.0,77,347,5.1,0.6,10248.8
58843,20251226160500,29.3,1000.7,74,254,13.2,0.1,10257.1
58846,20251226160500,34.4,1009.0,98,84,11.4,1.4,10122.2
58847,20251226160500,23.8,1004.9,19,331,4.6,1.2,10384.0
58911,20251226160500,3.1,1009.2,4,229,4.0,0.0,10389.3
58918,20251226160500,34.3,1006.9,87,267,5.8,0.3,10083.1
58921,20251226160500,29.2,1015.2,33,277,12.9,0.3,10445.3
58926,20251226160500,9.3,1020.8,98,344,11.9,0.9,10004.6
58927,20251226160500,6.5,1021.1,63,186,12.0,0.6,10321.0
58931,20251226160500,21.2,1020.6,92,206,3.7,0.7,10264.3
58933,20251226160500,34.6,1017.8,97,68,3.0,0.5,10118.8
58936,20251226160500,1.1,1022.0,99,176,9.0,0.5,10474.2
58944,20251226160500,1.0,1020.1,17,337,5.9,0.0,10332.3
59113,20251226160500,17.9,1012.7,96,182,10.0,0.5,10461.3
59126,20251226160500,13.7,1004.0,14,45,12.8,1.5,10255.3
59133,20251226160500,1.0,1011.1,11,151,10.8,1.4,10435.0
59134,20251226160500,29.8,1009.4,20,340,12.7,1.2,10464.1
59321,20251226160500,28.6,1022.5,17,65,10.9,1.4,10120.8
52323,20251226160500,25.9,1008.6,77,189,2.3,0.8,10167.7
52418,20251226160500,5.3,1019.7,10,225,11.5,0.8,10344.6
52424,20251226160500,17.5,1020.9,45,83,0.0,1.5,10223.4
52436,20251226160500,27.9,1013.6,10,125,4.4,0.0,10411.6
52446,20251226160500,30.3,1005.1,48,325,3.9,0.2,10142.6
52447,20251226160500,16.4,1022.5,69,197,14.4,0.9,10385.2
52533,20251226160500,15.9,1012.2,90,354,3.3,1.3,10320.8
52546,20251226160500,3.4,1004.4,5,63,12.2,0.4,10370.3
52652,20251226160500,6.6,1020.5,80,132,9.8,1.0,10209.5
52661,20251226160500,3.7,1020.0,1,251,7.3,0.7,10074.0
52674,20251226160500,11.7,1025.1,100,289,4.3,1.2,10273.7
52679,20251226160500,12.7,1004.2,98,163,4.8,0.7,10499.9
52681,20251226160500,17.1,1007.8,16,119,10.5,0.3,10391.7
52787,20251226160500,10.3,1022.0,32,212,9.2,0.7,10215.2
52797,20251226160500,6.7,1024.0,69,195,12.1,0.5,10391.6
52884,20251226160500,11.5,1023.2,83,122,1.7,0.9,10179.4
52895,20251226160500,21.5,1011.3,52,168,12.4,1.5,10096.1
52983,20251226160500,18.1,1015.1,23,245,14.8,0.0,10027.4
52984,20251226160500,9.3,1002.3,80,300,0.0,0.8,10373.3
52986,20251226160500,7.2,1021.0,9,279,10.9,0.3,10031.4
52996,20251226160500,7.6,1005.7,9,4,8.2,0.5,10321.4
53821,20251226160500,25.6,1001.6,19,300,13.5,0.8,10067.4
53915,20251226160500,8.5,1014.0,16,178,14.5,1.1,10378.9
53923,20251226160500,9.6,1011.0,58,20,8.0,0.2,10121.1
56074,20251226160500,14.1,1012.9,40,180,10.3,1.0,10297.4
56080,20251226160500,23.5,1017.3,86,294,12.0,0.1,10434.7
56093,20251226160500,10.5,1015.1,82,290,2.3,1.3,10009.8
56096,20251226160500,2.0,1020.2,18,118,6.7,1.0,10223.2
57014,20251226160500,14.9,1008.5,6,320,11.1,0.9,10031.1
57996,20251226160500,31.4,1004.1,88,160,7.7,0.9,10259.0
59072,20251226160500,4.7,1019.0,31,114,6.1,1.1,10000.0
59082,20251226160500,28.6,1010.3,26,116,5.5,1.3,10150.7
59087,20251226160500,7.2,1007.8,53,141,10.0,0.3,10016.3
59088,20251226160500,21.2,1013.6,17,216,8.0,1.5,10449.9
59096,20251226160500,15.7,1019.8,63,106,1.8,1.4,10311.3
59097,20251226160500,33.1,1007.0,61,177,0.4,1.0,10263.6
59107,20251226160500,5.9,1000.8,46,114,0.1,0.6,10072.7
59116,20251226160500,20.4,1006.1,32,186,13.9,0.8,10283.6
59117,20251226160500,6.9,1016.6,83,248,12.9,0.9,10428.1
59271,20251226160500,34.9,1018.4,22,270,9.9,1.5,10033.9
59278,20251226160500,20.3,1009.7,91,335,5.0,0.5,10352.7
59280,20251226160500,15.4,1017.9,69,228,7.0,0.6,10360.4
59287,20251226160500,20.9,1010.0,44,271,3.1,1.1,10152.7
59289,20251226160500,26.2,1025.7,56,21,0.1,0.8,10201.7
59293,20251226160500,0.2,1008.8,62,218,4.0,0.6,10458.5
59294,20251226160500,14.1,1006.2,68,217,12.8,1.0,10024.4
59298,20251226160500,20.0,1004.4,84,92,9.4,0.3,10070.6
59303,20251226160500,27.7,1014.1,2,119,0.0,0.4,10281.7
59304,20251226160500,30.3,1006.4,22,175,5.4,0.1,10276.4
59306,20251226160500,4.5,1013.7,4,358,4.1,1.2,10060.8
59310,20251226160500,2.0,1002.4,79,292,6.3,1.5,10463.2
59316,20251226160500,31.0,1019.3,21,177,2.9,0.6,10064.2
59317,20251226160500,33.1,1014.5,45,134,14.1,0.5,10128.0
59324,20251226160500,9.6,1017.7,5,73,1.4,0.2,10328.4
59456,20251226160500,20.8,1008.9,90,188,11.3,1.0,10141.7
59462,20251226160500,12.9,1011.3,83,139,11.1,0.4,10122.0
59478,20251226160500,9.3,1021.3,49,34,14.9,1.1,10151.1
59485,20251226160500,14.2,1016.4,28,88,12.6,0.6,10113.6
59488,20251226160500,19.3,1018.0,90,143,2.5,1.4,10087.8
59493,20251226160500,9.0,1022.0,75,89,2.5,1.2,10402.7
59501,20251226160500,33.7,1002.0,82,322,10.3,0.6,10212.9
59658,20251226160500,15.4,1022.3,77,317,14.7,0.4,10011.2
59663,20251226160500,12.6,1024.3,20,181,14.3,1.5,10204.9
59664,20251226160500,2.0,1015.8,89,231,1.0,1.0,10260.0
59673,20251226160500,23.6,1002.1,31,45,11.6,0.6,10457.0
59754,20251226160500,7.1,1022.0,32,268,1.4,0.1,10102.4
57947,20251226160500,16.3,1004.5,96,231,9.0,0.5,10305.3
57957,20251226160500,8.6,1017.3,65,326,14.3,1.5,10296.9
57958,20251226160500,10.3,1013.6,43,129,6.7,0.3,10158.1
59021,20251226160500,18.5,1016.7,13,108,10.7,0.1,10310.0
59023,20251226160500,22.3,1011.7,50,19,2.9,0.8,10308.0
59027,20251226160500,27.2,1008.7,19,60,14.2,0.7,10358.7
59037,20251226160500,18.5,1024.9,27,319,13.5,0.6,10150.2
59046,20251226160500,25.4,1015.1,1,339,10.8,1.2,10153.6
59058,20251226160500,31.7,1005.9,87,43,3.3,0.9,10478.4
59065,20251226160500,16.5,1009.3,33,279,5.3,0.7,10257.4
59209,20251226160500,9.5,1014.8,83,143,4.2,0.5,10376.5
59211,20251226160500,27.9,1009.4,86,265,2.2,1.3,10382.6
59218,20251226160500,8.2,1017.4,90,150,3.5,0.3,10177.1
59228,20251226160500,2.1,1009.8,27,318,14.6,1.5,10342.7
59242,20251226160500,4.9,1025.0,17,207,1.0,1.3,10377.3
59254,20251226160500,15.2,1006.1,6,243,14.2,0.2,10452.8
59265,20251226160500,31.5,1025.9,25,257,8.8,1.1,10415.8
59417,20251226160500,7.5,1023.6,99,48,4.4,0.7,10299.5
59431,20251226160500,9.2,1006.0,39,104,7.2,1.1,10218.0
59446,20251226160500,23.2,1007.3,26,216,4.6,0.9,10070.8
59453,20251226160500,18.8,1003.2,82,173,0.1,1.5,10169.2
59626,20251226160500,34.1,1011.7,0,279,3.3,1.5,10081.1
59631,20251226160500,7.9,1022.7,20,72,8.7,0.9,10249.3
59632,20251226160500,5.9,1007.8,75,151,6.8,1.2,10022.9
59644,20251226160500,26.4,1004.1,5,84,5.0,0.1,10273.4
59647,20251226160500,0.2,1022.7,87,305,7.7,0.7,10302.9
56691,20251226160500,1.2,1025.3,41,314,9.1,1.4,10046.2
56693,20251226160500,22.8,1015.9,25,270,14.4,0.1,10394.7
56792,20251226160500,26.4,1024.9,76,108,4.2,0.7,10191.6
56793,20251226160500,4.2,1021.6,58,46,7.5,0.4,10372.1
57606,20251226160500,0.4,1019.4,18,217,14.8,0.0,10444.1
57614,20251226160500,14.1,1004.8,54,41,5.8,1.5,10328.4
57625,20251226160500,0.4,1013.4,33,309,4.5,1.0,10128.5
57647,20251226160500,3.7,1019.6,24,329,7.4,0.5,10058.6
57707,20251226160500,30.2,1017.1,30,16,2.1,0.8,10331.8
57710,20251226160500,17.1,1012.8,30,182,6.1,0.1,10167.9
57712,20251226160500,22.1,1004.8,98,208,0.2,0.4,10023.2
57718,20251226160500,24.9,1001.6,12,36,12.9,0.9,10054.4
57722,20251226160500,25.6,1016.7,33,158,10.4,1.4,10010.2
57729,20251226160500,27.7,1012.6,55,68,1.9,1.2,10425.6
57731,20251226160500,33.3,1025.5,91,356,14.0,0.8,10053.4
57741,20251226160500,14.5,1002.4,8,324,0.2,0.0,10032.6
57803,20251226160500,8.2,1012.8,39,28,2.5,0.5,10330.7
57805,20251226160500,8.1,1024.7,68,148,1.3,0.0,10301.6
57806,20251226160500,3.5,1004.5,35,240,13.7,0.4,10095.9
57816,20251226160500,22.7,1007.8,41,232,11.3,1.0,10147.5
57825,20251226160500,11.5,1011.6,50,269,8.9,0.5,10188.5
57827,20251226160500,16.7,1009.4,13,258,2.1,1.2,10441.5
57832,20251226160500,13.6,1008.1,42,351,4.3,0.2,10267.6
57839,20251226160500,3.0,1018.8,66,38,12.8,1.3,10092.2
57840,20251226160500,19.1,1005.1,40,79,10.8,0.9,10336.9
57902,20251226160500,29.7,1014.8,50,56,11.2,0.1,10452.1
57906,20251226160500,18.5,1026.1,98,92,0.0,0.9,10303.6
57907,20251226160500,24.3,1022.9,84,96,3.9,1.5,10366.6
57910,20251226160500,21.8,1016.4,45,311,7.5,0.8,10099.0
57912,20251226160500,33.5,1002.0,97,275,13.4,0.9,10458.8
57916,20251226160500,29.8,1012.5,97,94,6.2,0.8,10359.7
57922,20251226160500,6.4,1010.4,100,157,1.3,0.0,10477.7
57926,20251226160500,20.3,1003.1,44,123,9.7,0.0,10027.5
57932,20251226160500,27.5,1002.2,79,100,8.7,1.2,10055.6
59758,20251226160500,7.1,1025.4,1,10,13.9,0.1,10394.2
59838,20251226160500,10.3,1022.0,47,217,14.4,1.5,10219.1
59845,20251226160500,10.9,1019.3,15,352,11.1,0.0,10399.5
59849,20251226160500,16.1,1026.4,6,186,3.6,1.5,10102.5
59855,20251226160500,32.5,1014.7,98,187,8.6,0.9,10002.7
59948,20251226160500,12.7,1013.6,95,351,7.6,0.7,10213.5
59954,20251226160500,12.0,1019.4,86,122,1.4,1.2,10223.8
59981,20251226160500,12.8,1011.9,11,49,0.0,1.2,10438.5
53399,20251226160500,28.8,1020.2,9,53,0.4,0.7,10138.1
53593,20251226160500,14.2,1023.4,63,141,9.1,1.0,10021.1
53698,20251226160500,1.9,1021.2,14,312,0.4,1.2,10356.0
53798,20251226160500,6.8,1016.4,81,308,5.0,1.0,10220.3
54308,20251226160500,10.2,1025.2,66,340,0.1,1.0,10012.2
54311,20251226160500,10.7,1002.1,38,349,9.8,0.8,10043.4
54401,20251226160500,23.9,1005.0,62,340,10.8,1.2,10330.7
54405,20251226160500,6.2,1010.2,95,250,9.3,0.3,10423.2
54423,20251226160500,4.6,1004.3,83,118,11.8,0.5,10245.8
54429,20251226160500,21.9,1010.0,69,117,5.6,1.5,10247.3
54436,20251226160500,30.6,1025.4,89,327,13.0,1.3,10405.8
54449,20251226160500,3.8,1009.6,67,162,12.8,1.5,10040.4
54518,20251226160500,7.4,1015.3,54,50,9.1,0.8,10137.7
54534,20251226160500,10.9,1025.5,46,321,1.0,0.0,10153.0
54535,20251226160500,31.8,1011.3,22,167,14.7,1.4,10275.6
54539,20251226160500,7.9,1007.0,82,199,7.8,0.3,10463.0
54602,20251226160500,25.9,1010.4,50,203,7.2,0.1,10361.6
54606,20251226160500,31.5,1019.6,45,327,13.6,0.1,10413.7
54618,20251226160500,4.8,1020.8,90,279,2.1,0.6,10078.5
54624,20251226160500,12.1,1009.2,52,242,5.9,0.7,10126.7
54705,20251226160500,13.8,1009.5,44,187,13.6,0.1,10042.3
53898,20251226160500,15.8,1002.7,80,355,13.8,0.0,10278.6
53986,20251226160500,7.7,1017.8,89,157,13.7,0.0,10267.8
57051,20251226160500,31.0,1020.7,12,93,7.9,1.5,10121.2
57067,20251226160500,19.1,1001.4,15,119,12.4,0.5,10397.3
57071,20251226160500,11.0,1011.6,93,100,13.8,1.1,10328.5
57077,20251226160500,2.8,1009.0,60,257,4.9,0.4,10456.4
57083,20251226160500,3.8,1023.9,35,148,3.8,0.6,10357.2
57084,20251226160500,21.7,1007.1,30,90,7.5,1.2,10002.1
57089,20251226160500,25.1,1003.7,91,31,9.8,1.1,10417.6
57091,20251226160500,33.6,1013.3,79,257,3.4,1.2,10275.0
57156,20251226160500,13.3,1003.0,97,351,5.4,0.5,10216.2
57178,20251226160500,29.4,1003.1,18,313,8.2,1.5,10485.0
57181,20251226160500,5.7,1012.7,41,78,9.5,0.9,10143.3
57193,20251226160500,14.3,1001.8,31,272,9.7,0.2,10498.2
57285,20251226160500,28.3,1006.7,35,116,13.2,0.5,10321.3
57290,20251226160500,13.8,1004.0,79,112,12.1,0.4,10289.4
57297,20251226160500,0.5,1018.5,77,104,0.3,1.1,10237.0
58005,20251226160500,4.8,1009.4,85,193,14.2,0.3,10116.5
58111,20251226160500,9.1,1026.3,41,16,12.2,1.4,10482.5
58208,20251226160500,20.4,1014.9,73,42,3.9,0.6,10175.7
50136,20251226160500,16.2,1017.1,56,279,11.1,0.1,10434.6
50246,20251226160500,31.4,1002.0,53,264,0.4,0.0,10208.8
50247,20251226160500,34.9,1022.9,12,92,5.4,1.4,10419.8
50349,20251226160500,12.7,1002.1,15,33,7.5,0.1,10213.5
