站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20251226141600,19.2,1015.3,27,144,14.4,0.6,10186.1
58102,20251226141600,12.1,1021.8,59,19,7.9,0.9,10271.7
58118,20251226141600,34.2,1022.8,94,235,12.1,0.5,10356.8
58122,20251226141600,6.2,1001.6,53,38,2.2,0.0,10158.1
58203,20251226141600,32.7,1019.8,45,229,13.1,1.5,10126.5
58215,20251226141600,12.7,1015.8,89,350,9.7,0.3,10105.6
58221,20251226141600,12.8,1025.0,87,192,10.0,0.2,10302.9
58225,20251226141600,22.2,1003.6,43,156,6.5,0.5,10084.1
58236,20251226141600,13.7,1005.3,98,354,9.6,0.5,10483.2
58311,20251226141600,22.9,1009.6,51,96,7.9,0.7,10128.9
58314,20251226141600,22.8,1026.3,14,67,12.0,0.2,10265.4
58319,20251226141600,17.0,1015.4,96,164,1.7,0.2,10212.1
58321,20251226141600,28.4,1003.1,6,273,3.6,1.5,10285.6
58326,20251226141600,23.4,1011.6,13,13,2.2,0.7,10242.9
58336,20251226141600,20.1,1015.3,30,82,3.6,0.3,10016.5
58338,20251226141600,15.8,1000.1,85,158,6.5,1.5,10333.0
58414,20251226141600,28.5,1004.8,95,111,12.4,0.8,10497.5
58419,20251226141600,6.2,1025.2,42,246,11.3,0.7,10319.7
58424,20251226141600,3.5,1002.8,30,348,10.6,0.3,10007.0
58429,20251226141600,24.4,1004.6,12,42,7.2,1.2,10446.4
58436,20251226141600,34.0,1001.3,57,107,11.1,1.5,10166.1
58437,20251226141600,8.7,1020.3,18,199,8.0,0.0,10384.7
58520,20251226141600,24.3,1008.1,74,20,12.9,0.8,10063.3
58531,20251226141600,8.7,1010.7,16,61,7.5,0.3,10486.5
54406,20251226141600,9.9,1009.6,11,29,1.6,0.3,10438.7
54416,20251226141600,7.8,1010.0,62,55,8.4,0.6,10370.3
54511,20251226141600,26.6,1016.7,97,290,8.5,1.3,10385.7
58725,20251226141600,11.4,1025.6,7,51,11.5,1.5,10260.6
58730,20251226141600,4.0,1013.0,20,60,10.3,1.5,10468.6
58731,20251226141600,6.9,1016.7,5,179,5.4,0.5,10386.9
58734,20251226141600,4.0,1005.6,55,287,7.4,1.4,10437.9
58737,20251226141600,1.1,1007.9,84,306,3.3,0.7,10252.1
58744,20251226141600,19.8,1023.7,19,271,9.2,1.3,10081.5
58754,20251226141600,24.7,1001.7,76,268,3.6,1.4,10070.6
58818,20251226141600,29.1,1010.3,60,273,1.5,1.3,10207.0
58820,20251226141600,24.1,1017.6,14,104,14.3,0.9,10404.9
58834,20251226141600,22.6,1013.7,48,354,13.4,0.6,10168.4
58837,20251226141600,2.8,1012.8,17,127,3.6,0.1,10450.8
58843,20251226141600,12.2,1011.6,49,65,1.7,1.4,10179.8
58846,20251226141600,23.4,1012.0,95,75,14.9,1.3,10047.3
58847,20251226141600,19.2,1016.2,79,318,13.6,1.4,10116.2
58911,20251226141600,12.2,1012.9,60,82,1.7,1.4,10023.9
58918,20251226141600,25.3,1026.2,66,358,11.1,0.0,10101.5
58921,20251226141600,2.8,1003.4,26,332,7.2,0.6,10431.1
58926,20251226141600,27.1,1007.2,29,175,13.1,0.0,10141.2
58927,20251226141600,1.9,1002.0,70,131,1.4,0.7,10195.9
58931,20251226141600,33.4,1021.1,93,137,13.5,0.2,10347.8
58933,20251226141600,29.6,1019.0,58,246,13.5,0.9,10497.3
58936,20251226141600,10.7,1004.6,43,60,5.0,1.2,10160.3
58944,20251226141600,23.1,1012.2,86,50,14.5,0.5,10308.0
59113,20251226141600,15.9,1019.5,76,303,1.3,0.0,10047.5
59126,20251226141600,24.8,1006.8,87,357,5.3,1.5,10294.4
59133,20251226141600,19.0,1005.4,72,57,3.0,1.5,10062.2
59134,20251226141600,28.1,1001.8,73,254,12.8,0.8,10201.9
59321,20251226141600,2.3,1017.6,18,184,12.3,0.1,10242.7
52323,20251226141600,23.6,1002.8,80,6,12.8,0.1,10346.9
52418,20251226141600,8.2,1005.0,80,32,11.4,0.5,10450.1
52424,20251226141600,9.6,1018.5,12,157,1.6,0.8,10191.3
52436,20251226141600,29.4,1006.7,61,147,10.0,1.1,10417.5
52446,20251226141600,2.5,1018.9,36,231,9.0,0.4,10379.1
52447,20251226141600,6.8,1025.3,38,92,0.3,0.8,10145.2
52533,20251226141600,31.9,1018.5,58,35,9.8,1.4,10162.8
52546,20251226141600,6.4,1019.2,57,18,11.7,1.0,10059.8
52652,20251226141600,11.7,1023.5,56,215,0.2,0.4,10405.2
