站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20251226141500,31.5,1025.0,36,53,0.2,0.6,10148.6
58102,20251226141500,2.6,1011.1,34,241,3.0,0.1,10044.6
58118,20251226141500,18.9,1008.5,62,187,12.6,0.4,10344.9
58122,20251226141500,26.6,1012.5,36,52,9.6,0.0,10474.3
58203,20251226141500,10.9,1013.5,9,224,8.5,0.4,10436.3
58215,20251226141500,34.0,1002.0,70,248,13.2,1.5,10296.5
58221,20251226141500,16.4,1023.8,3,353,14.4,0.0,10100.1
58225,20251226141500,32.0,1022.9,91,198,6.0,1.2,10002.3
58236,20251226141500,20.8,1023.0,71,107,1.5,0.2,10025.7
58311,20251226141500,5.3,1016.2,48,323,9.5,0.3,10418.7
58314,20251226141500,27.9,1008.1,38,133,2.5,1.0,10216.5
58319,20251226141500,26.9,1007.5,81,71,4.4,0.0,10015.6
58321,20251226141500,0.6,1008.3,20,57,12.8,0.6,10112.8
58326,20251226141500,34.5,1002.3,41,108,7.1,0.9,10016.5
58336,20251226141500,21.8,1021.6,66,77,10.3,0.8,10437.2
58338,20251226141500,13.0,1004.2,1,49,2.2,1.3,10130.3
58414,20251226141500,11.9,1019.3,66,27,10.3,0.5,10333.0
58419,20251226141500,28.1,1025.7,64,67,13.0,0.1,10119.6
58424,20251226141500,10.3,1020.3,35,291,13.6,1.0,10038.4
58429,20251226141500,19.1,1001.9,1,351,2.7,1.2,10313.7
58436,20251226141500,5.1,1023.0,53,332,9.3,0.6,10496.8
58437,20251226141500,14.7,1012.4,1,210,10.3,1.3,10190.1
58520,20251226141500,13.4,1014.4,36,7,5.4,0.4,10334.5
58531,20251226141500,19.1,1014.4,53,212,7.8,0.6,10296.4
54406,20251226141500,20.7,1011.4,11,191,10.9,1.3,10169.0
54416,20251226141500,0.4,1017.8,84,293,3.4,0.8,10231.9
54511,20251226141500,8.8,1019.8,1,154,1.0,1.0,10371.1
58725,20251226141500,11.6,1014.1,99,307,4.0,0.0,10051.8
58730,20251226141500,17.1,1024.7,6,170,10.3,0.8,10494.5
58731,20251226141500,16.4,1014.9,20,331,5.4,0.0,10003.3
58734,20251226141500,4.1,1020.6,14,301,1.2,0.6,10163.4
58737,20251226141500,12.2,1019.0,61,190,8.9,0.5,10176.1
58744,20251226141500,8.1,1003.8,40,112,10.7,0.6,10407.6
58754,20251226141500,6.3,1014.1,47,347,13.8,0.1,10046.8
58818,20251226141500,24.4,1024.8,54,347,1.4,1.5,10086.4
58820,20251226141500,17.6,1024.8,11,10,13.6,0.0,10274.5
58834,20251226141500,12.5,1003.8,48,256,14.8,1.3,10347.2
58837,20251226141500,25.7,1013.0,11,330,9.3,0.8,10233.8
58843,20251226141500,33.3,1020.0,97,250,5.0,0.3,10099.0
58846,20251226141500,26.4,1004.3,78,143,0.6,0.5,10294.3
58847,20251226141500,14.2,1002.6,48,179,5.6,0.5,10397.7
58911,20251226141500,30.6,1012.4,86,354,13.9,0.1,10149.4
58918,20251226141500,3.5,1005.5,32,268,9.5,0.7,10410.0
58921,20251226141500,24.7,1023.7,66,262,7.5,1.0,10397.5
58926,20251226141500,8.4,1004.1,1,28,13.5,0.1,10103.1
58927,20251226141500,4.1,1005.3,98,268,13.3,0.9,10193.1
58931,20251226141500,17.4,1003.0,60,309,7.5,1.3,10381.8
58933,20251226141500,17.3,1000.2,24,150,3.4,0.4,10062.8
58936,20251226141500,6.2,1000.7,70,258,12.4,0.0,10250.3
58944,20251226141500,15.9,1003.6,21,82,10.1,1.0,10001.5
59113,20251226141500,18.4,1025.7,54,191,3.7,0.7,10091.7
59126,20251226141500,26.3,1009.2,77,96,2.4,0.7,10103.8
59133,20251226141500,6.0,1014.7,60,122,13.0,1.2,10382.4
59134,20251226141500,15.6,1023.4,98,235,5.7,0.9,10482.4
59321,20251226141500,15.9,1005.9,54,85,1.1,0.8,10008.8
52323,20251226141500,9.9,1024.5,18,214,0.9,1.5,10206.9
52418,20251226141500,23.3,1016.2,28,226,14.0,0.7,10316.9
52424,20251226141500,17.0,1011.6,67,268,6.2,0.4,10338.4
52436,20251226141500,7.0,1025.9,62,211,10.3,0.0,10096.9
52446,20251226141500,16.7,1009.7,98,238,3.4,0.6,10335.7
52447,20251226141500,29.4,1005.4,89,287,11.2,1.4,10025.6
52533,20251226141500,30.4,1017.0,20,274,3.6,0.7,10092.7
52546,20251226141500,24.8,1010.1,8,120,0.2,0.9,10207.7
52652,20251226141500,20.8,1001.7,49,355,3.1,0.1,10330.3
52661,20251226141500,26.5,1013.7,50,199,8.6,0.7,10011.3
52674,20251226141500,10.0,1012.8,67,134,6.3,0.6,10448.2
52679,20251226141500,0.1,1024.1,37,272,13.2,1.1,10479.3
