站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20251210151300,18.1,1008.2,61,203,8.9,0.8,10496.1
58102,20251210151300,0.5,1011.4,36,149,0.8,0.3,10400.9
58118,20251210151300,12.8,1008.9,19,252,14.9,0.2,10358.6
58122,20251210151300,11.1,1005.5,83,142,9.6,1.4,10211.8
58203,20251210151300,17.7,1026.3,25,148,5.2,0.3,10306.1
58215,20251210151300,24.2,1023.2,20,97,1.3,0.6,10428.5
58221,20251210151300,22.1,1010.7,35,92,7.9,0.7,10064.2
58225,20251210151300,12.8,1024.9,67,241,1.9,0.2,10216.6
58236,20251210151300,31.7,1019.1,6,144,14.4,1.0,10329.3
58311,20251210151300,34.8,1021.7,93,240,11.7,0.4,10109.7
58314,20251210151300,33.2,1005.0,34,234,6.2,0.4,10361.5
58319,20251210151300,19.1,1000.6,58,61,2.5,1.1,10455.4
58321,20251210151300,9.6,1007.6,94,203,14.9,1.3,10337.7
58326,20251210151300,24.5,1009.7,57,234,14.1,0.2,10027.7
58336,20251210151300,10.8,1016.7,75,81,13.2,1.2,10489.4
58338,20251210151300,24.4,1020.4,15,28,3.7,0.7,10212.1
58414,20251210151300,16.5,1003.9,81,241,7.8,1.5,10400.9
58419,20251210151300,2.7,1020.5,0,115,12.9,0.8,10235.0
58424,20251210151300,2.0,1011.8,66,169,11.5,0.3,10448.1
58429,20251210151300,34.7,1006.7,43,314,0.3,0.6,10328.3
58436,20251210151300,29.3,1005.6,96,268,13.5,0.8,10206.0
58437,20251210151300,16.3,1001.8,9,253,7.8,0.3,10176.6
58520,20251210151300,10.7,1026.4,49,268,14.9,1.2,10322.5
58531,20251210151300,26.5,1019.8,72,114,5.7,1.2,10095.9
54406,20251210151300,31.3,1010.0,44,26,14.1,1.0,10288.0
54416,20251210151300,12.8,1009.8,48,302,13.1,0.6,10023.4
54511,20251210151300,26.0,1022.5,99,87,14.6,0.8,10463.7
58725,20251210151300,29.5,1004.3,51,320,11.8,0.7,10440.5
58730,20251210151300,27.8,1018.3,37,251,2.5,0.2,10166.4
58731,20251210151300,21.8,1017.9,15,307,14.2,1.4,10418.5
58734,20251210151300,22.5,1015.1,65,325,0.1,0.7,10272.4
58737,20251210151300,9.9,1002.5,49,315,6.3,0.1,10400.5
58744,20251210151300,33.4,1004.9,49,12,9.8,0.6,10198.0
58754,20251210151300,27.5,1009.4,83,94,8.0,1.5,10146.3
58818,20251210151300,12.4,1018.1,45,329,0.8,0.6,10107.0
58820,20251210151300,31.1,1005.1,78,201,11.6,0.4,10334.6
58834,20251210151300,13.1,1013.4,15,255,1.4,1.4,10097.0
58837,20251210151300,16.4,1016.9,21,339,8.0,1.4,10162.4
58843,20251210151300,1.2,1012.6,67,186,13.5,0.4,10159.0
58846,20251210151300,29.3,1009.3,31,76,0.9,0.6,10435.5
58847,20251210151300,7.5,1004.0,33,19,12.6,0.1,10473.3
58911,20251210151300,24.0,1009.0,97,176,7.1,0.0,10412.3
58918,20251210151300,15.1,1016.0,17,183,4.6,0.0,10292.9
58921,20251210151300,33.1,1019.1,65,316,3.7,0.7,10325.2
58926,20251210151300,14.6,1002.3,42,74,4.8,0.8,10262.2
58927,20251210151300,2.5,1026.0,62,127,2.2,0.5,10428.6
58931,20251210151300,24.3,1003.5,68,154,9.5,0.9,10134.0
